Day Ahead Market LMPs
07/16/2011

,,,All Hours-Ending are Eastern Standard Time (EST)
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
CIN.CONNERV.1,Gennode,LMP,27.19,25.69,24.25,23.97,23.69,22.68,24.84,26.85,33.3,37.39,42.19,45.48,51.1,57.74,63.65,73.08,77.56,68.91,59.67,51.9,56.18,45.45,33.59,35.11
CIN.CONNERV.2,Gennode,LMP,27.19,25.69,24.25,23.97,23.69,22.68,24.84,26.85,33.3,37.39,42.19,45.48,51.1,57.74,63.65,73.08,77.56,68.91,59.67,51.9,56.18,45.45,33.59,35.11
CIN.CPP.AGG,Hub,LMP,26.41,25.13,23.82,23.57,23.33,22.31,23.69,25.47,31.71,35.44,40.01,43.05,48.4,54.76,60.34,69.29,73.53,65.29,56.54,49.2,53.32,43.07,32.39,34.2
CIN.CT.BCKJD.1,Gennode,LMP,26.6,25.27,23.94,23.69,23.44,22.42,23.79,25.6,31.86,35.62,40.21,43.27,48.65,55.03,60.64,69.63,73.9,65.62,56.82,49.44,53.58,43.29,32.67,34.45
CIN.CT.BCKJD.2,Gennode,LMP,26.6,25.27,23.94,23.69,23.44,22.42,23.79,25.6,31.86,35.62,40.21,43.27,48.65,55.03,60.64,69.63,73.9,65.62,56.82,49.44,53.58,43.29,32.67,34.45
CIN.CT.BCKJD.3,Gennode,LMP,26.6,25.27,23.94,23.69,23.44,22.42,23.79,25.6,31.86,35.62,40.21,43.27,48.65,55.03,60.64,69.63,73.9,65.62,56.82,49.44,53.58,43.29,32.67,34.45
CIN.CT.BCKJD.4,Gennode,LMP,26.6,25.27,23.94,23.69,23.44,22.42,23.79,25.6,31.86,35.62,40.21,43.27,48.65,55.03,60.64,69.63,73.9,65.62,56.82,49.44,53.58,43.29,32.67,34.45
CIN.CT.DCRK.1,Gennode,LMP,27,25.67,24.32,24.07,23.82,22.8,24.33,26.18,32.58,36.44,41.13,44.28,49.77,56.27,62.01,71.21,75.57,67.12,58.12,50.57,54.77,44.27,33.15,34.94
CIN.CT.DCRK.3,Gennode,LMP,27,25.67,24.32,24.07,23.82,22.8,24.33,26.18,32.58,36.44,41.13,44.28,49.77,56.27,62.01,71.21,75.57,67.12,58.12,50.57,54.77,44.27,33.15,34.94
CIN.CT.DCRK.4,Gennode,LMP,27,25.67,24.32,24.07,23.82,22.8,24.33,26.18,32.58,36.44,41.13,44.28,49.77,56.27,62.01,71.21,75.57,67.12,58.12,50.57,54.77,44.27,33.15,34.94
CIN.CT.DCRK.5,Gennode,LMP,27,25.67,24.32,24.07,23.82,22.8,24.33,26.18,32.58,36.44,41.13,44.28,49.77,56.27,62.01,71.21,75.57,67.12,58.12,50.57,54.77,44.27,33.15,34.94
CIN.CT.MFORT.3,Gennode,LMP,26.49,25.12,23.78,23.53,23.27,22.25,23.71,25.54,31.77,35.54,40.12,43.18,48.55,54.92,60.52,69.49,73.75,65.49,56.71,49.34,53.47,43.2,32.59,34.31
CIN.CT.MFORT.4,Gennode,LMP,26.49,25.12,23.78,23.53,23.27,22.25,23.71,25.54,31.77,35.54,40.12,43.18,48.55,54.92,60.52,69.49,73.75,65.49,56.71,49.34,53.47,43.2,32.59,34.31
CIN.CT.MFORT.5,Gennode,LMP,26.49,25.12,23.78,23.53,23.27,22.25,23.71,25.54,31.77,35.54,40.12,43.18,48.55,54.92,60.52,69.49,73.75,65.49,56.71,49.34,53.47,43.2,32.59,34.31
CIN.CT.MFORT.6,Gennode,LMP,26.49,25.12,23.78,23.53,23.27,22.25,23.71,25.54,31.77,35.54,40.12,43.18,48.55,54.92,60.52,69.49,73.75,65.49,56.71,49.34,53.47,43.2,32.59,34.31
CIN.CT.VERMN.1,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.CT.VERMN.2,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.CT.VERMN.3,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.CT.VERMN.4,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.CT.VERMN.5,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.CT.VERMN.6,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.CT.VERMN.7,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.CT.VERMN.8,Gennode,LMP,25.66,24.05,22.57,22.29,21.97,21.04,22.94,24.9,30.69,34.62,39.07,42.19,47.44,53.71,59.17,67.95,72.11,64.01,55.43,48.24,52.3,42.23,31.97,32.83
CIN.DEI.AZ,Hub,LMP,26.5,24.93,23.49,23.23,22.95,21.94,24.19,26.2,32.43,36.43,41.01,44.12,49.61,56.23,61.86,71.01,75.39,66.98,57.83,50.3,54.58,44.12,32.9,34.21
CIN.DEK.AZ,Hub,LMP,26.86,25.5,24.14,23.88,23.62,22.6,24.24,26.11,32.47,36.35,41.02,44.17,49.65,56.13,61.85,71.02,75.39,66.96,57.98,50.44,54.64,44.17,33.02,34.75
CIN.DEO.AZ,Hub,LMP,27.02,25.68,24.32,24.06,23.81,22.79,24.49,26.38,32.8,36.71,41.44,44.62,50.14,56.68,62.47,71.73,76.13,67.62,58.55,50.94,55.16,44.6,33.2,34.97
CIN.DER.CGER,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS1,Loadzone,LMP,27.02,25.67,24.31,24.06,23.8,22.78,24.48,26.36,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS2,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS3,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS4,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS5,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS6,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS7,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DERS8,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DOMR.CGER,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DPLER,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.DTES,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.EASTBND2,Gennode,LMP,26.4,25.05,23.72,23.48,23.23,22.2,23.68,25.5,31.73,35.47,40.04,43.09,48.45,54.82,60.4,69.36,73.61,65.36,56.59,49.25,53.38,43.12,32.49,34.25
CIN.EDWCT1,Gennode,LMP,25.55,24.06,22.63,22.35,22.05,21.09,22.83,24.72,30.6,34.41,38.29,40.61,45.84,52.6,57.35,65.7,69.91,62.16,52.83,45.92,50.35,40.7,31.63,32.84
CIN.EDWCT2,Gennode,LMP,25.55,24.06,22.63,22.35,22.05,21.09,22.83,24.72,30.6,34.41,38.29,40.61,45.84,52.6,57.35,65.7,69.91,62.16,52.83,45.92,50.35,40.7,31.63,32.84
CIN.EDWST,Gennode,LMP,25.55,24.06,22.63,22.35,22.05,21.09,22.83,24.72,30.6,34.41,38.29,40.61,45.84,52.6,57.35,65.7,69.91,62.16,52.83,45.92,50.35,40.7,31.63,32.84
CIN.EKPC.SMTH,Loadzone,LMP,26.74,25.37,24.02,23.76,23.5,22.48,24.03,25.89,32.2,36.03,40.68,43.79,49.22,55.67,61.35,70.44,74.76,66.39,57.49,50.02,54.19,43.8,32.89,34.62
CIN.FESC.CGE,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.GALLAGR.1,Gennode,LMP,26.51,25.05,23.59,23.29,23,22.02,23.7,25.63,31.79,35.72,40.31,43.45,48.84,55.21,60.85,69.87,74.16,65.86,57.03,49.62,53.74,43.45,32.69,34.11
CIN.GALLAGR.2,Gennode,LMP,26.51,25.05,23.59,23.29,23,22.02,23.7,25.63,31.79,35.72,40.31,43.45,48.84,55.21,60.85,69.87,74.16,65.86,57.03,49.62,53.74,43.45,32.69,34.11
CIN.GALLAGR.3,Gennode,LMP,26.42,24.94,23.49,23.2,22.91,21.93,23.69,25.62,31.77,35.69,40.28,43.42,48.8,55.18,60.81,69.83,74.11,65.82,56.99,49.59,53.72,43.42,32.62,34.01
CIN.GALLAGR.4,Gennode,LMP,26.42,24.94,23.49,23.2,22.91,21.93,23.69,25.62,31.77,35.69,40.28,43.42,48.8,55.18,60.81,69.83,74.11,65.82,56.99,49.59,53.72,43.42,32.62,34.01
CIN.GEXA,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.GIBSON.1,Gennode,LMP,25.07,23.61,22.19,21.89,21.59,20.65,22.34,24.19,29.94,33.69,37.35,39.43,44.56,51.34,55.81,63.9,68.05,60.52,51.16,44.47,48.92,39.54,31.01,32.17
CIN.GIBSON.2,Gennode,LMP,25.07,23.61,22.19,21.89,21.59,20.65,22.34,24.19,29.94,33.69,37.35,39.43,44.56,51.34,55.81,63.9,68.05,60.52,51.16,44.47,48.92,39.54,31.01,32.17
CIN.GIBSON.3,Gennode,LMP,25.07,23.61,22.19,21.89,21.59,20.65,22.34,24.19,29.94,33.69,37.35,39.43,44.56,51.34,55.81,63.9,68.05,60.52,51.16,44.47,48.92,39.54,31.01,32.17
CIN.GIBSON.4,Gennode,LMP,25.07,23.61,22.19,21.89,21.59,20.65,22.34,24.19,29.94,33.69,37.35,39.43,44.56,51.34,55.81,63.9,68.05,60.52,51.16,44.47,48.92,39.54,31.01,32.17
CIN.GIBSON.5,Gennode,LMP,25.07,23.61,22.19,21.89,21.59,20.65,22.34,24.19,29.94,33.69,37.35,39.43,44.56,51.34,55.81,63.9,68.05,60.52,51.16,44.47,48.92,39.54,31.01,32.17
CIN.GLE,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.HAG.AEPM,Loadzone,LMP,26.52,24.95,23.51,23.25,22.96,21.96,24.24,26.25,32.48,36.5,41.09,44.2,49.71,56.33,61.98,71.14,75.54,67.1,57.94,50.4,54.68,44.21,32.92,34.23
CIN.HAMI,Loadzone,LMP,27.05,25.7,24.34,24.09,23.83,22.81,24.56,26.45,32.89,36.82,41.56,44.75,50.29,56.84,62.65,71.94,76.35,67.82,58.73,51.09,55.32,44.73,33.23,35
CIN.HAMI_1.AZ,Hub,LMP,27.05,25.7,24.34,24.09,23.83,22.81,24.56,26.45,32.89,36.82,41.56,44.75,50.29,56.84,62.65,71.94,76.35,67.82,58.73,51.09,55.32,44.73,33.23,35
CIN.HE.PSI,Loadzone,LMP,26.52,24.95,23.51,23.25,22.96,21.96,24.24,26.25,32.48,36.5,41.09,44.2,49.71,56.33,61.98,71.14,75.54,67.1,57.94,50.4,54.68,44.21,32.92,34.23
CIN.HENRYCO.1,Gennode,LMP,27.06,25.52,24.09,23.84,23.56,22.53,24.5,26.49,32.84,36.84,41.58,44.82,50.37,56.94,62.76,72.06,76.48,67.93,58.83,51.17,55.42,44.81,33.52,35.02
CIN.HENRYCO.2,Gennode,LMP,27.06,25.52,24.09,23.84,23.56,22.53,24.5,26.49,32.84,36.84,41.58,44.82,50.37,56.94,62.76,72.06,76.48,67.93,58.83,51.17,55.42,44.81,33.52,35.02
CIN.HENRYCO.3,Gennode,LMP,27.06,25.52,24.09,23.84,23.56,22.53,24.5,26.49,32.84,36.84,41.58,44.82,50.37,56.94,62.76,72.06,76.48,67.93,58.83,51.17,55.42,44.81,33.52,35.02
CIN.HEPM_1.AZ,Hub,LMP,26.65,25.14,23.68,23.4,23.1,22.12,24.35,26.35,32.64,36.71,41.33,44.46,49.99,56.61,62.3,71.51,75.93,67.46,58.25,50.66,54.95,44.44,32.96,34.31
CIN.HEPM_2.AZ,Hub,LMP,25.43,23.95,22.52,22.24,21.94,20.98,22.69,24.57,30.41,34.21,38.03,40.29,45.49,52.25,56.92,65.2,69.4,61.71,52.38,45.53,49.96,40.38,31.48,32.68
CIN.JAC.PSI,Loadzone,LMP,26.52,24.95,23.51,23.25,22.96,21.96,24.24,26.25,32.48,36.5,41.09,44.2,49.71,56.33,61.98,71.14,75.54,67.1,57.94,50.4,54.68,44.21,32.92,34.23
CIN.LOGANOAKR,Gennode,LMP,26.54,24.83,23.43,23.25,22.97,21.93,24.04,26.13,32.2,36.01,40.66,43.86,49.32,55.87,61.54,70.68,75,66.56,57.64,50.17,54.42,43.92,33.25,34.41
CIN.LONGBRANCH,Loadzone,LMP,26.56,25.2,23.84,23.57,23.31,22.3,23.74,25.58,31.82,35.62,40.2,43.28,48.66,55.03,60.64,69.64,73.9,65.63,56.83,49.45,53.57,43.29,32.63,34.33
CIN.MADISON.1,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MADISON.2,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MADISON.3,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MADISON.4,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MADISON.5,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MADISON.6,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MADISON.7,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MADISON.8,Gennode,LMP,26.93,25.62,24.28,24.03,23.77,22.75,24.17,26.01,32.36,36.19,40.85,43.97,49.42,55.89,61.59,70.73,75.06,66.66,57.72,50.22,54.4,43.97,33.05,34.85
CIN.MARKLND.1,Gennode,LMP,26.06,24.67,23.28,23.01,22.73,21.74,23.2,25.04,31.11,34.87,39.36,42.39,47.66,53.92,59.41,68.22,72.4,64.29,55.66,48.44,52.5,42.41,32.07,33.63
CIN.MARKLND.2,Gennode,LMP,26.06,24.67,23.28,23.01,22.73,21.74,23.2,25.04,31.11,34.87,39.36,42.39,47.66,53.92,59.41,68.22,72.4,64.29,55.66,48.44,52.5,42.41,32.07,33.63
CIN.MARKLND.3,Gennode,LMP,26.06,24.67,23.28,23.01,22.73,21.74,23.2,25.04,31.11,34.87,39.36,42.39,47.66,53.92,59.41,68.22,72.4,64.29,55.66,48.44,52.5,42.41,32.07,33.63
CIN.MECR310,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.MIAFORT.6,Gennode,LMP,26.31,24.95,23.62,23.37,23.12,22.1,23.53,25.34,31.53,35.26,39.81,42.84,48.17,54.51,60.05,68.96,73.19,64.98,56.27,48.97,53.07,42.87,32.36,34.09
CIN.MIAFORT7,Gennode,LMP,26.57,25.28,23.97,23.73,23.48,22.46,23.88,25.68,31.96,35.72,40.33,43.39,48.78,55.19,60.81,69.83,74.1,65.8,56.98,49.58,53.73,43.41,32.59,34.41
CIN.MIAFORT8,Gennode,LMP,26.58,25.3,23.98,23.74,23.49,22.47,23.89,25.69,31.97,35.74,40.34,43.41,48.8,55.21,60.84,69.86,74.14,65.83,57.01,49.6,53.75,43.43,32.61,34.42
CIN.MIAMIFOR.H,Hub,LMP,26.56,25.17,23.83,23.59,23.34,22.31,23.83,25.67,31.93,35.71,40.32,43.39,48.78,55.19,60.81,69.83,74.11,65.81,56.98,49.59,53.73,43.41,32.72,34.46
CIN.MIAMIFOR.L,Hub,LMP,26.48,25.12,23.77,23.52,23.26,22.24,23.7,25.53,31.76,35.53,40.11,43.17,48.53,54.91,60.5,69.47,73.73,65.47,56.69,49.33,53.46,43.19,32.58,34.3
CIN.MIAMWAB.1,Gennode,LMP,26.8,25.17,23.85,23.69,23.45,22.34,24.66,26.68,33.04,36.85,41.62,44.82,50.39,57.05,62.85,72.18,76.59,67.99,58.88,51.24,55.55,44.86,33.46,35.1
CIN.MIAMWAB.2,Gennode,LMP,26.8,25.17,23.85,23.69,23.45,22.34,24.66,26.68,33.04,36.85,41.62,44.82,50.39,57.05,62.85,72.18,76.59,67.99,58.88,51.24,55.55,44.86,33.46,35.1
CIN.MIAMWAB.3,Gennode,LMP,26.8,25.17,23.85,23.69,23.45,22.34,24.66,26.68,33.04,36.85,41.62,44.82,50.39,57.05,62.85,72.18,76.59,67.99,58.88,51.24,55.55,44.86,33.46,35.1
CIN.MIAMWAB.5,Gennode,LMP,26.75,25.13,23.86,23.72,23.5,22.36,24.5,26.44,32.87,36.58,41.32,44.45,49.98,56.58,62.34,71.58,75.96,67.43,58.39,50.82,55.1,44.49,33.34,35.28
CIN.MIAMWAB.6,Gennode,LMP,26.75,25.13,23.86,23.72,23.5,22.36,24.5,26.44,32.87,36.58,41.32,44.45,49.98,56.58,62.34,71.58,75.96,67.43,58.39,50.82,55.1,44.49,33.34,35.28
CIN.NOBLEVL.3,Gennode,LMP,27.17,25.58,24.14,23.89,23.61,22.58,24.69,26.72,33.1,37.15,41.92,45.2,50.79,57.41,63.28,72.66,77.12,68.5,59.32,51.6,55.88,45.18,33.72,35.18
CIN.NOBLEVL.4,Gennode,LMP,27.17,25.58,24.14,23.89,23.61,22.58,24.69,26.72,33.1,37.15,41.92,45.2,50.79,57.41,63.28,72.66,77.12,68.5,59.32,51.6,55.88,45.18,33.72,35.18
CIN.NOBLEVL.5,Gennode,LMP,27.17,25.58,24.14,23.89,23.61,22.58,24.69,26.72,33.1,37.15,41.92,45.2,50.79,57.41,63.28,72.66,77.12,68.5,59.32,51.6,55.88,45.18,33.72,35.18
CIN.PSI,Loadzone,LMP,26.52,24.95,23.51,23.25,22.96,21.96,24.24,26.25,32.48,36.5,41.09,44.2,49.71,56.33,61.98,71.14,75.54,67.1,57.94,50.4,54.68,44.21,32.92,34.23
CIN.PSI.IMPA,Loadzone,LMP,26.52,24.95,23.51,23.25,22.96,21.96,24.24,26.25,32.48,36.5,41.09,44.2,49.71,56.33,61.98,71.14,75.54,67.1,57.94,50.4,54.68,44.21,32.92,34.23
CIN.PSI_2.AZ,Hub,LMP,26.34,24.87,23.41,23.1,22.8,21.83,23.49,25.41,31.5,35.42,38.71,40.18,45.57,53.15,57.21,65.33,69.76,62.18,51.56,44.74,49.74,40.29,32.49,33.83
CIN.PSI_3.AZ,Hub,LMP,25.7,24.22,22.74,22.41,22.1,21.17,23.11,25.04,31,34.94,37.7,38.54,43.87,51.85,55.25,62.95,67.39,60.15,48.96,42.42,47.72,38.68,31.72,32.87
CIN.SELC.CGER,Loadzone,LMP,27.02,25.67,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.SESDUKE,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.SIGE,Loadzone,LMP,25.65,24.15,22.67,22.36,22.05,21.12,23.2,25.15,31.1,35.07,38.91,41.18,46.5,53.44,58.17,66.61,70.92,63.09,53.44,46.43,50.97,41.24,31.74,32.82
CIN.SIGW_1.AZ,Hub,LMP,25.65,24.15,22.67,22.36,22.05,21.12,23.2,25.15,31.1,35.07,38.91,41.17,46.49,53.44,58.17,66.6,70.91,63.09,53.44,46.43,50.97,41.24,31.74,32.82
CIN.SMARTGEN,Gennode,LMP,27.27,25.91,24.54,24.28,24.02,23,24.8,26.71,33.21,37.18,41.96,45.19,50.78,57.38,63.25,72.63,77.08,68.47,59.3,51.58,55.84,45.16,33.5,35.27
CIN.SMARTLOAD,Loadzone,LMP,27.27,25.91,24.54,24.28,24.02,23,24.8,26.71,33.21,37.18,41.96,45.19,50.78,57.38,63.25,72.63,77.08,68.47,59.3,51.58,55.84,45.16,33.5,35.27
CIN.STUART.1,Gennode,LMP,26.63,25.36,24.03,23.78,23.52,22.51,23.82,25.62,31.9,35.66,40.26,43.32,48.7,55.09,60.7,69.71,73.98,65.69,56.88,49.5,53.63,43.34,32.64,34.45
CIN.STUART.2,Gennode,LMP,26.63,25.36,24.03,23.78,23.52,22.51,23.82,25.62,31.9,35.66,40.26,43.32,48.7,55.09,60.7,69.71,73.98,65.69,56.88,49.5,53.63,43.34,32.64,34.45
CIN.STUART.3,Gennode,LMP,26.63,25.36,24.03,23.78,23.52,22.51,23.82,25.62,31.9,35.66,40.26,43.32,48.7,55.09,60.7,69.71,73.98,65.69,56.88,49.5,53.63,43.34,32.64,34.45
CIN.STUART.4,Gennode,LMP,26.63,25.36,24.03,23.78,23.52,22.51,23.82,25.62,31.9,35.66,40.26,43.32,48.7,55.09,60.7,69.71,73.98,65.69,56.88,49.5,53.63,43.34,32.64,34.45
CIN.SUCRKGT1,Gennode,LMP,25.17,23.64,22.21,21.94,21.64,20.69,22.5,24.38,30.13,33.91,37.88,40.36,45.53,52.09,56.93,65.27,69.41,61.68,52.68,45.83,50.11,40.47,31.27,32.32
CIN.SUCRKGT2,Gennode,LMP,25.17,23.64,22.21,21.94,21.64,20.69,22.5,24.38,30.13,33.91,37.88,40.36,45.53,52.09,56.93,65.27,69.41,61.68,52.68,45.83,50.11,40.47,31.27,32.32
CIN.SUCRKST1,Gennode,LMP,25.17,23.64,22.21,21.94,21.64,20.69,22.5,24.38,30.12,33.9,37.87,40.36,45.52,52.08,56.92,65.26,69.41,61.67,52.68,45.82,50.1,40.47,31.27,32.32
CIN.TWINBR1,Gennode,LMP,26.75,25.18,23.72,23.45,23.15,22.16,24.14,26.13,32.35,36.36,40.73,43.55,49.04,55.85,61.22,70.2,74.62,66.32,56.88,49.45,53.88,43.57,33.17,34.47
CIN.ULHP,Loadzone,LMP,26.85,25.49,24.12,23.87,23.61,22.59,24.23,26.1,32.46,36.34,41.02,44.17,49.64,56.12,61.83,70.99,75.37,66.94,57.97,50.43,54.63,44.16,33.01,34.74
CIN.VIRD,Loadzone,LMP,27.02,25.68,24.32,24.06,23.8,22.78,24.48,26.37,32.79,36.7,41.42,44.6,50.12,56.66,62.45,71.7,76.1,67.59,58.53,50.92,55.14,44.58,33.2,34.96
CIN.WABRIV.7,Gennode,LMP,25.25,23.71,22.3,22.05,21.76,20.79,22.73,24.62,30.44,34.22,38.29,40.86,46.07,52.62,57.59,66.03,70.24,62.4,53.43,46.48,50.75,40.99,31.4,32.55
CIN.WABRIVR.2,Gennode,LMP,25.25,23.7,22.3,22.06,21.77,20.79,22.74,24.63,30.46,34.23,38.31,40.91,46.12,52.66,57.64,66.1,70.3,62.45,53.5,46.54,50.8,41.02,31.4,32.57
CIN.WABRIVR.3,Gennode,LMP,25.25,23.7,22.3,22.06,21.77,20.79,22.74,24.63,30.46,34.23,38.31,40.91,46.12,52.66,57.64,66.1,70.3,62.45,53.5,46.54,50.8,41.02,31.4,32.57
CIN.WABRIVR.4,Gennode,LMP,25.26,23.71,22.3,22.05,21.75,20.79,22.72,24.62,30.43,34.22,38.27,40.84,46.04,52.6,57.55,65.99,70.21,62.38,53.39,46.45,50.72,40.96,31.41,32.54
CIN.WABRIVR.5,Gennode,LMP,25.26,23.71,22.3,22.05,21.75,20.79,22.72,24.62,30.43,34.22,38.27,40.84,46.04,52.6,57.55,65.99,70.21,62.38,53.39,46.45,50.72,40.96,31.41,32.54
